iter	Logloss
0	0.6845504725
1	0.6771094902
2	0.6688803478
3	0.6606690354
4	0.6512242033
5	0.6431746265
6	0.6353002737
7	0.6258303743
8	0.6173825652
9	0.608229363
10	0.5994841824
11	0.5918880626
12	0.5855583894
13	0.5771931712
14	0.5675040366
15	0.5606407636
16	0.553237909
17	0.5462354067
18	0.5386329983
19	0.5313247633
20	0.5234887732
21	0.5159338925
22	0.5082080958
23	0.5030157964
24	0.495825784
25	0.4904522925
26	0.4841337596
27	0.4772704932
28	0.4698317069
29	0.4646812995
30	0.4587834124
31	0.4526018374
32	0.4464449194
33	0.4405919574
34	0.4347968893
35	0.4302444111
36	0.4258469073
37	0.4199925711
38	0.4146780307
39	0.410570567
40	0.4048262277
41	0.3989395192
42	0.3944334455
43	0.3894130383
44	0.3847292248
45	0.3810594243
46	0.3757138734
47	0.3711448026
48	0.3682272979
49	0.365772561
50	0.3624881552
51	0.3580181741
52	0.3540870317
53	0.3501236604
54	0.3452972081
55	0.3408565884
56	0.3383947203
57	0.3342460116
58	0.33054927
59	0.3279661881
60	0.3244159026
61	0.3212032427
62	0.3182789743
63	0.3158151387
64	0.3119367836
65	0.3093125464
66	0.3070913918
67	0.3042123395
68	0.3013852996
69	0.299503513
70	0.2963659722
71	0.2936035472
72	0.2900402355
73	0.2877723234
74	0.2856366893
75	0.2830948832
76	0.2801555551
77	0.2774320523
78	0.2753552194
79	0.2722733629
80	0.2701876638
81	0.2679675635
82	0.2655107623
83	0.2624750466
84	0.2603460504
85	0.2573603682
86	0.2549825796
87	0.2526995914
88	0.2504455446
89	0.2488393555
90	0.2471436006
91	0.2449295251
92	0.2425052631
93	0.2399297549
94	0.2383595153
95	0.2368286245
96	0.2347020058
97	0.2334619731
98	0.2320186704
99	0.229477965
100	0.2271514831
101	0.2250978057
102	0.223421231
103	0.2213681677
104	0.2196449131
105	0.2179341013
106	0.2165748624
107	0.2146855094
108	0.2137006417
109	0.2121312648
110	0.209949419
111	0.2081979362
112	0.2069633267
113	0.2051651775
114	0.2037111575
115	0.2023023237
116	0.2003802747
117	0.1990119936
118	0.1973673796
119	0.1959811372
120	0.1949380933
121	0.1939042682
122	0.1925867549
123	0.1912479349
124	0.1895992629
125	0.1883867206
126	0.1875133393
127	0.1860797633
128	0.1850246407
129	0.1841725359
130	0.1830486909
131	0.1816390476
132	0.1805465091
133	0.1792545117
134	0.1781633462
135	0.1772750516
136	0.1762476065
137	0.1751353334
138	0.173904946
139	0.1725960312
140	0.171248782
141	0.1703720564
142	0.1697949562
143	0.1692929562
144	0.1686157402
145	0.1675799837
146	0.1664608033
147	0.1650108464
148	0.1637504161
149	0.1626801643
150	0.1620846808
151	0.161443981
152	0.1604656461
153	0.1600983722
154	0.1591418825
155	0.1583727363
156	0.1572959908
157	0.1568902551
158	0.1562396509
159	0.155312792
160	0.1543802038
161	0.1537419624
162	0.152826904
163	0.1519214314
164	0.1513981914
165	0.1509138773
166	0.1503940903
167	0.1495053134
168	0.1487635317
169	0.1479727735
170	0.1471161057
171	0.1466379478
172	0.1460473706
173	0.14507982
174	0.144487156
175	0.1437503984
176	0.143107989
177	0.1423686371
178	0.1419345742
179	0.1410705624
180	0.1404081369
181	0.1397836162
182	0.1388856434
183	0.1384026138
184	0.1377628972
185	0.1372307312
186	0.1364297494
187	0.1358377269
188	0.135339241
189	0.1348756992
190	0.1342834194
191	0.1339359696
192	0.1332784434
193	0.1329766534
194	0.132557004
195	0.132023776
196	0.1313722887
197	0.1308936999
